记录编号,部门,员工级别,费用类型,报销金额,发票金额,金额差额,发票张数,费用发生后提交天数,审批层级数,近30天同供应商报销次数,员工近30天报销次数,员工近6个月退回次数,同类费用平均金额,高于同类平均金额比例,部门预算使用率,发票抬头是否一致,是否有合同附件,是否周末发生费用,是否疑似重复发票,供应商信用等级,审核结果
R008857,行政部,普通员工,交通费,232,232,0,2,31,1,3,3,0,350,-0.3371,0.4916,是,否,否,否,A,通过
R008858,行政部,普通员工,差旅费,3085,3106,21,4,18,2,5,6,0,1800,0.7139,0.5272,是,否,否,否,B,通过
R008859,财务部,普通员工,办公用品,3136,3136,0,4,73,2,10,7,0,700,3.48,0.8604,是,否,否,否,A,人工复核
R008860,采购部,普通员工,广告宣传费,9954,9947,7,1,36,3,5,4,0,5000,0.9908,0.434,是,是,是,否,A,通过
R008861,行政部,经理,维修费,2658,2658,0,4,30,2,5,4,0,1500,0.772,0.6531,是,否,否,否,B,人工复核
R008862,采购部,普通员工,通信费,293,249,44,4,24,1,3,6,0,280,0.0464,0.7918,否,否,否,否,A,人工复核
R008863,财务部,普通员工,差旅费,3249,3249,0,3,5,2,5,2,2,1800,0.805,0.7362,是,否,否,否,A,通过
R008864,信息技术部,经理,办公用品,382,382,0,3,20,1,1,5,2,700,-0.4543,1.2154,是,是,否,否,A,通过
R008865,财务部,主管,招待费,7553,7553,0,2,16,3,6,7,0,2200,2.4332,0.3636,是,是,是,否,A,人工复核
R008866,行政部,主管,办公用品,1807,1807,0,5,43,2,4,4,2,700,1.5814,0.9455,是,否,否,否,C,退回
R008867,信息技术部,普通员工,差旅费,1837,1837,0,1,44,2,1,2,3,1800,0.0206,0.947,是,否,是,是,A,退回
R008868,信息技术部,经理,交通费,784,784,0,4,10,1,8,2,0,350,1.24,0.6181,是,是,否,否,B,人工复核
R008869,采购部,普通员工,广告宣传费,2840,2863,23,1,15,2,6,4,2,5000,-0.432,0.353,是,是,否,否,A,人工复核
R008870,财务部,普通员工,培训费,3438,3438,0,3,23,2,7,3,1,2600,0.3223,0.8424,是,是,是,否,D,人工复核
R008871,人力资源部,普通员工,会议费,2573,2573,0,4,13,2,7,3,0,3200,-0.1959,0.5277,否,否,否,否,B,人工复核
R008872,行政部,普通员工,差旅费,848,848,0,1,8,1,7,3,1,1800,-0.5289,1.209,是,否,是,否,B,人工复核
R008873,财务部,普通员工,招待费,2914,2870,44,1,72,2,5,1,5,2200,0.3245,0.7631,是,否,否,否,B,人工复核
R008874,市场部,主管,招待费,3769,3769,0,4,30,2,3,10,1,2200,0.7132,0.854,是,否,否,否,B,人工复核
R008875,人力资源部,普通员工,培训费,4580,4581,1,4,8,2,0,3,0,2600,0.7615,0.9999,是,是,否,否,A,通过
R008876,财务部,普通员工,广告宣传费,9761,9761,0,1,10,3,8,3,0,5000,0.9522,0.8435,是,否,否,否,A,人工复核
R008877,采购部,普通员工,差旅费,2735,2679,56,3,61,2,2,8,0,1800,0.5194,0.9791,是,否,否,否,B,人工复核
R008878,市场部,主管,通信费,195,195,0,1,18,1,3,5,0,280,-0.3036,0.7386,是,否,是,是,B,通过
R008879,人力资源部,主管,培训费,1774,1769,5,2,8,2,10,4,0,2600,-0.3177,0.3718,是,是,否,否,A,通过
R008880,行政部,普通员工,差旅费,3117,3117,0,3,43,2,11,1,0,1800,0.7317,0.8879,是,否,否,否,A,退回
R008881,人力资源部,主管,咨询服务费,10355,10355,0,4,76,4,1,14,2,6500,0.5931,0.6085,是,是,否,否,C,退回
R008882,采购部,经理,会议费,7596,7573,23,3,26,3,0,7,2,3200,1.3738,0.4722,是,是,是,否,A,人工复核
R008883,采购部,普通员工,招待费,3401,3401,0,1,16,2,4,2,0,2200,0.5459,0.6051,是,否,是,否,A,通过
R008884,销售部,普通员工,会议费,1805,1805,0,4,31,2,4,1,0,3200,-0.4359,0.9381,是,是,否,否,B,通过
R008885,信息技术部,普通员工,咨询服务费,2479,2479,0,1,10,2,7,2,0,6500,-0.6186,0.671,是,是,否,否,B,通过
R008886,采购部,经理,通信费,439,1274,835,3,39,1,5,2,0,280,0.5679,0.4507,是,是,否,是,A,退回
R008887,人力资源部,普通员工,办公用品,2016,2016,0,3,3,2,7,6,0,700,1.88,0.3934,是,否,否,否,B,通过
R008888,市场部,普通员工,培训费,2382,2870,488,3,20,2,5,6,4,2600,-0.0838,0.6994,是,是,否,否,B,人工复核
R008889,生产部,普通员工,差旅费,701,701,0,4,42,1,0,5,0,1800,-0.6106,0.4192,是,否,否,否,B,通过
R008890,销售部,实习生,办公用品,464,493,29,3,39,1,3,6,0,700,-0.3371,0.6645,是,否,否,否,A,通过
R008891,信息技术部,普通员工,差旅费,5670,5670,0,5,59,3,8,3,0,1800,2.15,0.5985,是,否,否,否,A,退回
R008892,市场部,普通员工,差旅费,3176,3133,43,3,31,2,1,3,0,1800,0.7644,0.4151,是,否,否,否,D,人工复核
R008893,行政部,普通员工,招待费,1067,1067,0,4,16,2,1,1,0,2200,-0.515,0.8734,是,否,否,否,A,通过
R008894,生产部,主管,差旅费,1633,1636,3,3,5,2,2,7,4,1800,-0.0928,0.5378,是,否,否,否,A,通过
R008895,信息技术部,经理,差旅费,954,954,0,1,64,1,19,7,0,1800,-0.47,0.8137,是,是,是,是,C,退回
R008896,市场部,普通员工,招待费,3188,3211,23,1,30,2,3,3,1,2200,0.4491,0.923,是,否,否,否,A,人工复核
R008897,销售部,普通员工,通信费,446,446,0,4,9,1,9,4,0,280,0.5929,0.7981,否,是,否,否,B,人工复核
R008898,销售部,普通员工,招待费,1960,1960,0,2,34,2,4,1,2,2200,-0.1091,1.1773,是,是,否,否,B,人工复核
R008899,采购部,主管,维修费,1889,1845,44,3,27,2,2,2,1,1500,0.2593,0.5571,是,是,是,否,A,通过
R008900,人力资源部,主管,交通费,482,495,13,4,2,1,0,5,1,350,0.3771,0.6615,是,否,否,否,B,通过
R008901,信息技术部,普通员工,维修费,2307,2307,0,4,36,2,7,7,0,1500,0.538,1.0035,是,是,否,否,C,人工复核
R008902,行政部,普通员工,培训费,2005,2005,0,1,9,2,3,2,0,2600,-0.2288,1.1896,是,是,否,否,A,通过
R008903,市场部,经理,招待费,3305,3305,0,2,36,2,1,4,1,2200,0.5023,1.035,是,否,否,否,A,人工复核
R008904,财务部,普通员工,交通费,571,600,29,1,40,1,6,7,2,350,0.6314,0.3623,是,是,否,否,C,人工复核
R008905,市场部,普通员工,交通费,197,197,0,4,38,1,2,1,0,350,-0.4371,0.4282,是,是,否,否,C,通过
R008906,销售部,普通员工,会议费,5989,5989,0,3,21,3,7,4,1,3200,0.8716,1.1437,是,否,否,否,D,人工复核
R008907,信息技术部,普通员工,咨询服务费,10047,10047,0,4,9,4,0,5,1,6500,0.5457,0.7649,是,是,是,否,B,通过
R008908,行政部,普通员工,差旅费,3661,3158,503,6,41,2,4,4,5,1800,1.0339,0.6487,是,否,否,否,B,退回
R008909,市场部,经理,维修费,2713,2696,17,1,6,2,2,1,1,1500,0.8087,0.5999,否,否,否,否,A,人工复核
R008910,人力资源部,普通员工,招待费,1366,1366,0,2,14,2,15,12,0,2200,-0.3791,0.9948,是,否,是,否,A,人工复核
R008911,信息技术部,普通员工,差旅费,2963,2986,23,3,1,2,4,2,0,1800,0.6461,0.8041,是,是,否,否,B,通过
R008912,财务部,主管,招待费,9467,9467,0,2,21,3,0,4,0,2200,3.3032,0.5652,是,否,否,否,B,通过
R008913,采购部,主管,差旅费,7112,7096,16,2,42,3,6,2,0,1800,2.9511,0.5604,是,否,是,否,B,人工复核
R008914,行政部,普通员工,交通费,326,326,0,3,34,1,5,7,2,350,-0.0686,0.5773,是,否,否,否,B,通过
R008915,采购部,普通员工,招待费,3842,3849,7,4,42,2,4,7,1,2200,0.7464,0.5691,是,否,否,否,B,退回
R008916,人力资源部,主管,招待费,4077,4982,905,4,5,2,4,4,0,2200,0.8532,0.5545,是,否,否,否,A,人工复核
R008917,销售部,普通员工,会议费,2643,2623,20,2,9,2,6,6,0,3200,-0.1741,0.6998,是,是,否,否,C,通过
R008918,人力资源部,普通员工,招待费,2821,2821,0,3,32,2,0,2,0,2200,0.2823,0.5062,是,是,否,否,A,通过
R008919,行政部,普通员工,通信费,516,516,0,2,15,1,2,2,0,280,0.8429,0.8888,是,是,否,否,B,通过
R008920,销售部,主管,培训费,4491,4491,0,2,42,2,7,2,0,2600,0.7273,0.4937,是,否,否,否,A,人工复核
R008921,生产部,经理,咨询服务费,3706,3706,0,2,26,2,4,1,1,6500,-0.4298,0.4868,是,是,否,是,A,人工复核
R008922,销售部,普通员工,交通费,1589,1736,147,5,41,2,10,5,0,350,3.54,0.3986,是,否,否,否,C,人工复核
R008923,生产部,普通员工,会议费,2356,2299,57,1,22,2,4,7,2,3200,-0.2638,0.746,是,是,否,否,A,通过
R008924,销售部,普通员工,交通费,309,471,162,1,1,1,2,1,0,350,-0.1171,0.5366,是,否,否,否,A,人工复核
R008925,生产部,主管,交通费,422,422,0,1,2,1,3,5,0,350,0.2057,0.6938,是,是,否,否,B,通过
R008926,行政部,普通员工,差旅费,1705,1705,0,3,13,2,3,7,0,1800,-0.0528,0.9645,是,否,否,否,B,通过
R008927,生产部,普通员工,办公用品,495,495,0,2,25,1,5,17,0,700,-0.2929,0.8744,是,是,是,否,A,通过
R008928,信息技术部,普通员工,培训费,10238,10238,0,6,8,4,3,3,1,2600,2.9377,0.9101,是,是,否,否,C,退回
R008929,行政部,普通员工,办公用品,1127,1127,0,2,4,2,5,2,0,700,0.61,0.4513,是,否,否,否,C,通过
R008930,财务部,主管,办公用品,604,604,0,2,7,1,5,3,0,700,-0.1371,0.7086,是,否,否,否,B,通过
R008931,财务部,普通员工,交通费,645,645,0,4,31,1,0,7,0,350,0.8429,0.5152,否,否,否,否,B,人工复核
R008932,市场部,普通员工,差旅费,802,816,14,4,37,1,0,2,0,1800,-0.5544,0.9202,是,否,否,否,B,通过
R008933,行政部,实习生,交通费,312,312,0,4,37,1,0,5,1,350,-0.1086,0.7413,是,否,是,否,C,人工复核
R008934,销售部,主管,培训费,1866,1911,45,4,27,2,4,1,0,2600,-0.2823,0.3602,是,是,是,否,C,通过
R008935,市场部,主管,交通费,707,707,0,7,15,1,4,5,0,350,1.02,0.3828,是,否,否,是,B,人工复核
R008936,财务部,主管,交通费,439,439,0,4,45,1,14,6,0,350,0.2543,1.0301,是,否,否,否,B,人工复核
R008937,财务部,普通员工,交通费,1239,1239,0,4,22,2,5,7,1,350,2.54,0.551,是,否,是,否,A,退回
R008938,销售部,经理,差旅费,4825,4825,0,5,15,2,4,15,2,1800,1.6806,0.8022,是,否,否,否,C,通过
R008939,信息技术部,普通员工,维修费,2347,2160,187,4,48,2,3,1,0,1500,0.5647,0.803,是,是,否,否,C,人工复核
R008940,生产部,主管,差旅费,4882,4882,0,5,80,2,2,2,0,1800,1.7122,0.5227,是,否,否,否,B,退回
R008941,市场部,普通员工,会议费,6902,6902,0,1,9,3,7,6,0,3200,1.1569,1.0406,是,是,否,否,A,人工复核
R008942,市场部,普通员工,交通费,340,340,0,4,10,1,6,5,0,350,-0.0286,0.4656,是,否,否,否,A,通过
R008943,人力资源部,经理,维修费,1266,1266,0,4,23,2,4,5,1,1500,-0.156,0.7385,是,是,否,否,A,通过
R008944,人力资源部,普通员工,会议费,3496,3496,0,1,21,2,7,3,0,3200,0.0925,0.6848,是,是,否,否,A,人工复核
R008945,行政部,普通员工,咨询服务费,7858,7858,0,3,1,3,5,2,0,6500,0.2089,0.4191,是,是,是,是,B,人工复核
R008946,采购部,主管,招待费,4933,4944,11,4,71,2,5,7,0,2200,1.2423,0.9277,是,否,否,否,A,人工复核
R008947,行政部,普通员工,交通费,196,196,0,3,37,1,7,5,2,350,-0.44,1.0403,是,是,否,否,C,人工复核
R008948,信息技术部,实习生,维修费,2875,2865,10,1,42,2,8,3,0,1500,0.9167,0.5847,是,否,否,否,B,人工复核
R008949,采购部,主管,维修费,1856,1856,0,4,28,2,10,6,0,1500,0.2373,0.9796,是,是,是,否,A,通过
R008950,行政部,实习生,广告宣传费,7422,7422,0,3,24,3,6,5,1,5000,0.4844,1.0454,是,是,否,否,B,通过
R008951,行政部,普通员工,广告宣传费,9473,9473,0,3,30,3,1,5,1,5000,0.8946,0.5494,是,否,否,否,A,人工复核
R008952,财务部,普通员工,办公用品,2295,2295,0,4,3,2,3,1,0,700,2.2786,0.6888,是,否,否,否,D,人工复核
R008953,信息技术部,普通员工,广告宣传费,5407,5407,0,2,36,3,3,5,0,5000,0.0814,0.5745,是,否,否,是,A,退回
R008954,财务部,普通员工,广告宣传费,1335,1668,333,3,2,2,8,1,2,5000,-0.733,1.0362,是,是,否,否,B,人工复核
R008955,财务部,主管,会议费,1023,1023,0,2,45,2,8,1,0,3200,-0.6803,0.9202,是,是,否,否,A,人工复核
R008956,人力资源部,普通员工,差旅费,7292,7292,0,2,21,3,3,7,0,1800,3.0511,0.6248,否,是,是,否,B,人工复核
R008957,信息技术部,主管,交通费,515,515,0,1,43,1,3,5,0,350,0.4714,0.487,否,否,否,是,C,退回
R008958,采购部,普通员工,招待费,1608,1608,0,4,40,2,4,7,0,2200,-0.2691,0.4646,是,否,否,否,B,通过
R008959,行政部,主管,会议费,4768,4724,44,1,41,2,8,4,1,3200,0.49,0.8743,是,是,是,否,A,人工复核
R008960,信息技术部,主管,广告宣传费,5136,5136,0,1,35,3,7,5,0,5000,0.0272,0.7961,是,是,否,否,B,通过
R008961,信息技术部,主管,培训费,4887,4887,0,2,22,2,17,3,2,2600,0.8796,0.88,是,是,否,否,A,人工复核
R008962,市场部,普通员工,招待费,2882,2882,0,4,48,2,5,3,1,2200,0.31,0.8724,是,否,否,否,A,通过
R008963,行政部,普通员工,会议费,5863,5863,0,1,28,3,7,7,0,3200,0.8322,1.0238,是,是,否,否,A,人工复核
R008964,财务部,普通员工,招待费,1938,1938,0,3,34,2,0,1,0,2200,-0.1191,0.7924,否,是,是,否,A,退回
R008965,采购部,普通员工,培训费,3842,3895,53,3,45,2,4,1,2,2600,0.4777,0.4328,是,是,否,否,C,人工复核
R008966,采购部,普通员工,招待费,3493,3493,0,4,10,2,1,5,0,2200,0.5877,0.3795,是,否,否,否,A,通过
R008967,行政部,普通员工,差旅费,3222,2371,851,3,36,2,8,1,2,1800,0.79,0.9499,是,否,否,否,A,退回
R008968,生产部,普通员工,交通费,421,421,0,1,5,1,4,7,0,350,0.2029,0.4961,是,否,否,否,A,通过
R008969,生产部,普通员工,招待费,3865,3865,0,3,5,2,5,2,0,2200,0.7568,0.8201,是,否,否,否,B,通过
R008970,生产部,主管,差旅费,909,909,0,1,40,1,2,7,0,1800,-0.495,1.226,是,否,否,否,B,人工复核
R008971,财务部,普通员工,会议费,3657,3657,0,2,16,2,3,1,0,3200,0.1428,0.4424,是,是,否,否,A,通过
R008972,生产部,主管,维修费,1266,1266,0,1,30,2,7,3,0,1500,-0.156,0.3745,是,否,否,否,A,通过
R008973,人力资源部,普通员工,交通费,663,663,0,2,74,1,6,3,0,350,0.8943,0.45,是,否,否,否,A,人工复核
R008974,市场部,普通员工,广告宣传费,23526,23526,0,4,1,4,5,5,0,5000,3.7052,0.9408,是,是,否,否,B,人工复核
R008975,生产部,主管,维修费,1362,1362,0,4,5,2,1,6,0,1500,-0.092,0.7505,是,是,否,否,C,通过
R008976,财务部,普通员工,广告宣传费,20997,20997,0,2,58,4,5,2,0,5000,3.1994,0.5169,是,是,否,否,B,退回
R008977,销售部,普通员工,交通费,379,379,0,4,15,1,6,4,1,350,0.0829,0.8511,是,是,否,否,C,通过
R008978,人力资源部,普通员工,维修费,1158,1707,549,2,9,2,2,7,0,1500,-0.228,0.35,是,是,否,否,A,人工复核
R008979,人力资源部,经理,广告宣传费,3025,3025,0,1,14,2,2,2,2,5000,-0.395,0.5972,是,是,否,否,A,人工复核
R008980,人力资源部,主管,通信费,213,213,0,2,36,1,3,1,1,280,-0.2393,1.1482,是,否,否,否,A,退回
R008981,财务部,普通员工,咨询服务费,6975,6951,24,2,3,3,2,1,0,6500,0.0731,0.776,是,是,否,否,B,通过
R008982,销售部,实习生,培训费,3890,3890,0,1,83,2,4,3,0,2600,0.4962,1.0751,是,是,否,否,C,通过
R008983,生产部,普通员工,办公用品,558,558,0,3,38,1,1,1,2,700,-0.2029,0.7731,是,是,否,否,C,人工复核
R008984,人力资源部,普通员工,会议费,5736,5761,25,1,28,3,1,7,0,3200,0.7925,0.4064,是,是,是,否,C,通过
R008985,生产部,普通员工,办公用品,770,770,0,3,75,1,6,1,0,700,0.1,1.0029,是,否,否,否,C,人工复核
R008986,生产部,普通员工,交通费,585,585,0,4,28,1,8,2,3,350,0.6714,0.6227,是,是,是,否,A,人工复核
R008987,生产部,普通员工,会议费,5853,5853,0,3,1,3,7,3,2,3200,0.8291,0.4777,是,否,是,否,A,人工复核
R008988,生产部,普通员工,会议费,4704,4732,28,2,33,2,1,6,2,3200,0.47,1.0225,否,否,否,否,C,退回
R008989,生产部,实习生,通信费,218,218,0,1,79,1,3,1,0,280,-0.2214,0.5342,是,否,是,否,B,人工复核
R008990,行政部,主管,维修费,2453,2466,13,3,3,2,5,4,1,1500,0.6353,1.1089,是,是,否,否,C,人工复核
R008991,财务部,普通员工,维修费,2382,2382,0,2,27,2,4,2,0,1500,0.588,0.415,是,是,否,否,A,通过
R008992,财务部,主管,差旅费,647,647,0,3,48,1,6,1,0,1800,-0.6406,0.7246,是,否,否,否,A,通过
R008993,销售部,经理,交通费,1400,1458,58,6,67,2,7,3,2,350,3,0.7594,是,否,否,否,B,人工复核
R008994,销售部,主管,广告宣传费,9566,9566,0,4,41,3,2,2,0,5000,0.9132,0.9035,是,否,否,否,A,人工复核
R008995,采购部,主管,差旅费,2580,2580,0,1,32,2,2,1,3,1800,0.4333,0.9271,是,否,否,否,A,人工复核
R008996,信息技术部,普通员工,通信费,749,749,0,3,33,1,0,7,0,280,1.675,0.8966,是,是,否,否,A,人工复核
R008997,人力资源部,主管,招待费,4021,3503,518,2,24,2,20,3,0,2200,0.8277,0.8917,是,否,否,否,A,人工复核
R008998,销售部,普通员工,招待费,1850,1850,0,4,9,2,8,4,1,2200,-0.1591,0.5432,是,否,否,否,B,人工复核
R008999,采购部,普通员工,培训费,2397,2397,0,3,44,2,0,6,0,2600,-0.0781,0.8197,是,是,否,否,A,通过
R009000,信息技术部,普通员工,培训费,2467,2467,0,2,39,2,1,6,1,2600,-0.0512,0.9173,是,是,否,否,B,人工复核
R009001,生产部,普通员工,培训费,2130,2593,463,4,21,2,5,4,0,2600,-0.1808,1.0225,是,是,否,否,A,人工复核
R009002,信息技术部,经理,广告宣传费,7200,7200,0,1,39,3,8,10,2,5000,0.44,0.7257,是,是,是,否,B,人工复核
R009003,采购部,普通员工,差旅费,995,995,0,3,13,1,2,2,0,1800,-0.4472,0.8092,是,否,否,否,A,通过
R009004,生产部,普通员工,交通费,401,401,0,2,30,1,4,2,0,350,0.1457,0.9549,是,是,否,否,C,通过
R009005,人力资源部,普通员工,交通费,373,373,0,4,64,1,1,1,0,350,0.0657,0.4197,是,否,否,否,C,人工复核
R009006,采购部,普通员工,咨询服务费,9674,9459,215,1,24,3,5,4,0,6500,0.4883,0.7001,是,是,否,否,C,退回
R009007,生产部,普通员工,差旅费,2710,2710,0,3,37,2,1,5,0,1800,0.5056,0.408,是,否,否,否,B,人工复核
R009008,人力资源部,普通员工,交通费,252,252,0,1,28,1,8,2,0,350,-0.28,0.9663,是,否,否,否,A,通过
R009009,人力资源部,主管,办公用品,457,0,457,1,9,1,10,9,3,700,-0.3471,0.7676,是,否,是,否,A,人工复核
R009010,生产部,实习生,培训费,4794,4786,8,2,17,2,1,5,0,2600,0.8438,1.0379,是,是,否,否,A,人工复核
R009011,信息技术部,普通员工,广告宣传费,12064,12064,0,2,4,4,8,3,0,5000,1.4128,0.7508,是,是,否,否,D,人工复核
R009012,财务部,普通员工,通信费,768,725,43,4,32,1,2,7,2,280,1.7429,1.0047,是,否,否,否,C,退回
R009013,采购部,实习生,招待费,3138,3148,10,3,35,2,5,6,0,2200,0.4264,1.1448,是,否,否,否,D,人工复核
R009014,销售部,实习生,招待费,7439,7439,0,5,10,3,3,4,0,2200,2.3814,0.7798,是,否,否,否,B,人工复核
R009015,财务部,普通员工,交通费,957,957,0,3,8,1,3,7,2,350,1.7343,0.9922,是,否,否,否,A,人工复核
R009016,行政部,普通员工,差旅费,6385,6358,27,4,58,3,8,2,3,1800,2.5472,0.6269,是,是,否,否,B,退回
R009017,采购部,实习生,差旅费,3541,3541,0,2,16,2,0,3,0,1800,0.9672,1.0272,是,否,否,否,C,人工复核
R009018,销售部,普通员工,培训费,3492,3492,0,4,16,2,5,2,0,2600,0.3431,0.8982,是,是,否,否,A,通过
R009019,销售部,实习生,会议费,1274,1224,50,2,5,2,0,4,1,3200,-0.6019,0.9023,是,是,否,否,C,退回
R009020,财务部,普通员工,会议费,2844,2844,0,1,34,2,4,1,2,3200,-0.1112,0.6044,是,是,否,否,B,通过
R009021,市场部,普通员工,咨询服务费,10046,10046,0,1,19,4,7,2,0,6500,0.5455,0.4847,是,是,否,否,A,通过
R009022,信息技术部,普通员工,维修费,1864,1864,0,2,3,2,8,5,1,1500,0.2427,0.985,是,是,是,否,A,通过
R009023,行政部,普通员工,差旅费,1721,1721,0,1,41,2,3,4,0,1800,-0.0439,0.6773,否,否,否,否,A,人工复核
R009024,人力资源部,普通员工,差旅费,2321,2321,0,4,42,2,2,12,0,1800,0.2894,0.4631,是,是,否,否,B,通过
R009025,销售部,普通员工,会议费,2262,2262,0,1,11,2,2,3,0,3200,-0.2931,0.4119,是,是,否,否,A,通过
R009026,财务部,经理,通信费,418,418,0,1,23,1,7,7,2,280,0.4929,0.8935,是,是,是,否,B,人工复核
R009027,人力资源部,普通员工,差旅费,2412,2465,53,1,30,2,1,2,0,1800,0.34,1.0476,是,否,否,否,D,人工复核
R009028,行政部,主管,办公用品,1314,1314,0,4,35,2,10,8,1,700,0.8771,0.7977,是,是,否,否,B,人工复核
R009029,人力资源部,普通员工,差旅费,1726,1726,0,3,19,2,2,7,2,1800,-0.0411,0.5243,是,否,是,否,A,通过
R009030,生产部,普通员工,差旅费,3282,3282,0,2,14,2,2,1,0,1800,0.8233,0.9659,是,否,否,否,B,通过
R009031,信息技术部,普通员工,维修费,2125,2005,120,3,34,2,1,6,0,1500,0.4167,0.9745,是,是,否,否,C,通过
R009032,财务部,普通员工,培训费,2201,2201,0,1,25,2,4,4,0,2600,-0.1535,0.5738,是,是,否,否,A,通过
R009033,市场部,普通员工,广告宣传费,8768,8768,0,1,4,3,5,2,0,5000,0.7536,0.7951,是,是,否,否,A,通过
R009034,销售部,普通员工,差旅费,2637,2637,0,3,41,2,3,7,0,1800,0.465,0.7028,是,否,否,否,C,人工复核
R009035,采购部,经理,培训费,3509,3509,0,3,82,2,6,1,0,2600,0.3496,0.9172,是,是,否,否,D,人工复核
R009036,销售部,普通员工,培训费,3319,3319,0,3,8,2,7,2,0,2600,0.2765,0.5742,是,是,否,否,C,通过
R009037,财务部,普通员工,差旅费,2091,2091,0,1,20,2,4,2,0,1800,0.1617,0.5997,是,是,否,否,A,通过
R009038,生产部,普通员工,维修费,897,897,0,3,62,1,1,1,0,1500,-0.402,1.1857,是,是,否,是,C,退回
R009039,市场部,普通员工,会议费,6146,5769,377,1,16,3,4,3,0,3200,0.9206,0.7731,是,是,否,否,A,人工复核
R009040,采购部,普通员工,培训费,4816,4816,0,4,19,2,5,13,0,2600,0.8523,0.3754,是,是,否,否,B,人工复核
R009041,市场部,普通员工,差旅费,1830,1830,0,4,13,2,5,3,1,1800,0.0167,0.9956,是,是,否,否,A,通过
R009042,行政部,实习生,办公用品,721,721,0,3,36,1,1,1,1,700,0.03,1.0071,是,否,否,否,A,人工复核
R009043,销售部,主管,维修费,2996,2996,0,2,29,2,7,4,1,1500,0.9973,0.7912,是,是,否,否,A,通过
R009044,信息技术部,主管,培训费,4510,4510,0,1,33,2,3,5,0,2600,0.7346,1.0902,是,是,否,否,B,人工复核
R009045,财务部,普通员工,办公用品,1421,1421,0,5,18,2,1,6,2,700,1.03,0.6374,是,否,是,否,A,人工复核
R009046,市场部,主管,差旅费,1920,1920,0,2,11,2,3,7,1,1800,0.0667,0.9548,是,否,否,否,A,人工复核
R009047,市场部,主管,办公用品,392,392,0,1,17,1,8,4,0,700,-0.44,0.5883,是,否,否,否,A,通过
R009048,生产部,普通员工,咨询服务费,22409,22409,0,7,38,4,5,3,0,6500,2.4475,0.4578,是,是,是,否,A,人工复核
R009049,市场部,主管,差旅费,1521,1521,0,4,33,2,0,11,2,1800,-0.155,0.4414,是,否,否,否,C,通过
R009050,行政部,普通员工,广告宣传费,8125,8149,24,3,7,3,0,5,0,5000,0.625,1.2231,是,是,是,否,A,退回
R009051,市场部,普通员工,会议费,4011,4011,0,4,10,2,5,3,4,3200,0.2534,0.8396,是,否,否,否,A,人工复核
R009052,人力资源部,普通员工,通信费,505,505,0,2,17,1,7,4,0,280,0.8036,1.0759,是,是,否,否,A,人工复核
R009053,信息技术部,主管,差旅费,771,777,6,4,35,1,3,2,1,1800,-0.5717,0.8023,是,否,否,否,A,通过
R009054,市场部,普通员工,广告宣传费,8835,8835,0,4,8,3,2,1,2,5000,0.767,0.3922,是,是,否,否,B,通过
R009055,生产部,普通员工,办公用品,868,868,0,1,19,1,5,2,0,700,0.24,0.6497,是,否,否,否,C,人工复核
R009056,行政部,普通员工,办公用品,1455,1455,0,3,42,2,3,6,0,700,1.0786,1.0187,是,否,否,否,B,人工复核
R009057,人力资源部,主管,通信费,341,341,0,1,22,1,3,3,3,280,0.2179,0.7773,是,否,否,否,B,通过
R009058,信息技术部,普通员工,办公用品,627,627,0,1,24,1,5,2,0,700,-0.1043,1.1844,是,否,否,否,B,人工复核
R009059,人力资源部,普通员工,交通费,999,958,41,1,9,1,2,1,2,350,1.8543,0.9486,是,否,否,否,B,人工复核
R009060,采购部,普通员工,维修费,4982,4982,0,5,33,2,8,3,0,1500,2.3213,0.3977,是,是,否,否,B,人工复核
R009061,人力资源部,普通员工,招待费,6451,6451,0,5,67,3,0,5,2,2200,1.9323,0.8672,是,否,否,否,A,人工复核
R009062,信息技术部,实习生,维修费,489,489,0,3,10,1,1,3,0,1500,-0.674,0.6953,是,是,否,否,A,通过
R009063,采购部,普通员工,通信费,436,787,351,1,22,1,4,2,2,280,0.5571,0.9551,是,是,否,否,B,退回
R009064,市场部,普通员工,交通费,343,364,21,1,25,1,5,6,0,350,-0.02,1.0074,是,否,是,否,B,人工复核
R009065,人力资源部,普通员工,通信费,500,459,41,2,42,1,3,4,3,280,0.7857,0.7742,是,否,否,否,B,人工复核
R009066,人力资源部,普通员工,差旅费,2238,2224,14,3,39,2,2,1,0,1800,0.2433,0.8402,是,否,否,否,A,通过
R009067,财务部,普通员工,交通费,585,642,57,4,75,1,6,2,0,350,0.6714,0.9572,是,否,否,否,B,人工复核
R009068,人力资源部,普通员工,维修费,2183,2183,0,1,28,2,5,7,0,1500,0.4553,1.0279,是,是,是,否,B,人工复核
R009069,财务部,普通员工,交通费,497,497,0,1,32,1,0,11,2,350,0.42,1.1351,是,是,否,否,A,通过
R009070,信息技术部,经理,交通费,937,937,0,3,14,1,8,4,3,350,1.6771,1.0079,是,是,否,否,A,退回
R009071,采购部,经理,交通费,509,459,50,3,12,1,4,5,0,350,0.4543,0.8114,是,是,否,否,C,通过
R009072,市场部,普通员工,会议费,5357,5357,0,1,39,3,6,6,0,3200,0.6741,0.8534,是,是,否,否,B,通过
R009073,采购部,普通员工,维修费,4354,4354,0,1,12,2,11,6,0,1500,1.9027,0.7761,是,否,否,否,A,人工复核
